fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Derrick Lewis,Aleksei Oleinik,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/a2e34655a41ba45c,260.0,79,Orthodox,2.48,50,2.48,40,0.57,26,52,0.0,240.0,80,Orthodox,3.29,48,3.8,44,1.82,46,37,1.9,28,12,0,60,17,1,75.0,74.0,40.0,47.0
Tanner Boser,Raphael Pessoa,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/88d3b6b833e31712,205.0,75,Orthodox,4.7,52,2.75,58,0.0,0,63,0.0,262.0,78,Orthodox,2.16,26,3.43,42,0.0,0,100,0.0,21,10,1,10,2,0,74.0,75.0,33.0,36.0
Nasrat Haqparast,Alexander Munoz,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/26173f6491300eaa,155.0,72,Southpaw,6.15,44,5.65,62,0.28,20,84,0.0,155.0,72,Switch,3.7,42,4.73,55,3.0,40,100,0.0,17,5,0,7,2,0,70.0,69.0,29.0,35.0
Omari Akhmedov,Chris Weidman,UFC Fight Night: Lewis vs. Oleinik,fighter2,http://ufcstats.com/fight-details/22e10b23784e5efc,185.0,73,Orthodox,2.97,34,2.84,55,2.58,45,65,0.2,185.0,78,Orthodox,3.11,45,3.37,51,3.27,42,72,0.8,21,6,1,16,8,0,72.0,74.0,37.0,40.0
Movsar Evloev,Mike Grundy,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/32b0e450b11b32fe,145.0,72,Orthodox,3.99,48,2.66,60,4.67,48,61,0.2,145.0,72,Orthodox,2.09,45,4.45,56,4.06,28,50,0.4,19,0,0,12,4,0,67.0,67.0,31.0,38.0
Bethe Correia,Pannie Kianzad,UFC Fight Night: Whittaker vs. Till,fighter2,http://ufcstats.com/fight-details/54bbc7974df586a1,135.0,64,Orthodox,4.37,43,4.93,56,0.39,18,85,0.0,135.0,66,Orthodox,4.88,49,4.09,51,0.41,33,65,0.1,11,6,1,17,9,0,65.0,67.0,41.0,33.0
Tom Aspinall,Jake Collier,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/6cfab1da57d260f4,256.0,78,Orthodox,8.07,67,2.89,65,3.27,100,100,1.6,230.0,78,Orthodox,5.8,44,5.08,50,0.71,33,67,0.6,15,3,0,13,10,0,77.0,75.0,31.0,36.0
Paul Craig,Gadzhimurad Antigulov,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/74dae3d87a99cf5d,185.0,76,Orthodox,2.52,44,3.03,43,1.52,20,37,1.4,205.0,70,Orthodox,2.08,55,4.21,40,5.08,36,0,1.4,17,9,1,20,8,0,75.0,71.0,37.0,38.0
Alex Oliveira,Peter Sobotta,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/58e07add007685f8,170.0,76,Orthodox,2.99,51,2.55,46,2.35,38,63,0.6,170.0,75,Southpaw,2.14,40,2.9,58,1.53,32,77,0.5,22,12,1,17,7,1,71.0,72.0,37.0,38.0
Khamzat Chimaev,Rhys McKee,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/573d3a6984cbcd29,185.0,75,Orthodox,5.36,58,3.25,41,4.31,46,100,2.8,170.0,78,Orthodox,4.8,45,7.85,42,0.0,0,41,0.0,14,0,0,13,6,1,74.0,74.0,30.0,29.0
Francisco Trinaldo,Jai Herbert,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/3b209a2aee014ac2,170.0,70,Southpaw,3.13,45,2.67,60,0.98,42,60,0.5,155.0,77,Orthodox,3.16,42,3.37,52,0.5,23,59,0.0,28,9,0,13,5,1,69.0,73.0,46.0,36.0
Carla Esparza,Marina Rodriguez,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/5632f2364016e879,115.0,63,Orthodox,2.19,39,2.87,54,3.28,36,47,0.3,115.0,65,Orthodox,4.64,46,3.04,55,0.28,50,62,0.2,20,8,0,17,5,2,61.0,66.0,37.0,37.0
Fabricio Werdum,Alexander Gustafsson,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/f786136e55007e17,231.0,77,Orthodox,3.59,52,2.64,55,1.75,31,31,1.2,205.0,79,Orthodox,4.03,40,3.53,51,1.53,39,83,0.4,24,9,1,18,8,0,76.0,77.0,47.0,38.0
Mauricio Rua,Rogerio Nogueira,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/a3820f1eb82f2ba6,205.0,76,Orthodox,3.57,50,2.79,54,2.01,48,49,0.7,205.0,75,Southpaw,2.43,35,2.34,59,0.64,44,62,0.8,27,14,1,23,10,0,73.0,74.0,43.0,48.0
Jack Shore,Aaron Phillips,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/f3c42ce9fad55eb7,145.0,71,Orthodox,3.6,58,2.31,56,3.22,39,74,0.6,135.0,71,Southpaw,1.51,53,3.66,43,0.86,50,44,0.6,17,3,0,12,5,0,68.0,69.0,30.0,35.0
Diana Belbita,Liana Jojua,UFC Fight Night: Kattar vs. Ige,fighter2,http://ufcstats.com/fight-details/dccea04cc3567955,125.0,68,Orthodox,6.54,42,6.55,51,0.91,62,65,0.0,125.0,62,Orthodox,2.42,30,5.32,54,1.71,66,50,1.3,15,9,0,8,5,0,67.0,64.0,28.0,30.0
Robert Whittaker,Darren Till,UFC Fight Night: Whittaker vs. Till,fighter1,http://ufcstats.com/fight-details/11f715fa5e825e51,185.0,73,Orthodox,4.54,43,3.41,59,0.8,38,81,0.0,185.0,74,Southpaw,2.3,46,3.31,56,0.55,46,69,0.0,27,8,0,18,5,1,72.0,72.0,34.0,32.0
Jared Gordon,Chris Fishgold,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/819f51ef9d945a46,155.0,68,Orthodox,5.75,55,3.97,56,1.78,31,62,0.0,145.0,68,Orthodox,2.01,32,2.7,46,2.59,46,44,1.3,20,7,0,18,4,1,69.0,68.0,36.0,32.0
Modestas Bukauskas,Andreas Michailidis,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/0e969ae805006d1f,205.0,78,Switch,3.32,42,4.11,50,0.37,66,71,0.2,170.0,76,Orthodox,2.9,51,3.57,44,1.12,27,50,0.0,17,6,0,13,6,0,75.0,72.0,31.0,36.0
Ricardo Ramos,Lerone Murphy,UFC Fight Night: Kattar vs. Ige,fighter2,http://ufcstats.com/fight-details/f3efc6121c5323ff,145.0,72,Orthodox,3.03,36,3.85,55,2.77,61,72,0.8,145.0,73,Orthodox,4.8,54,2.67,60,1.78,54,48,0.6,17,6,0,15,0,1,69.0,69.0,29.0,33.0
John Phillips,Khamzat Chimaev,UFC Fight Night: Kattar vs. Ige,fighter2,http://ufcstats.com/fight-details/7fd810af30144119,185.0,75,Southpaw,1.72,34,4.03,49,0.0,0,7,0.0,185.0,75,Orthodox,5.36,58,3.25,41,4.31,46,100,2.8,22,11,0,14,0,0,71.0,74.0,39.0,30.0
Tim Elliott,Ryan Benoit,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/7dbf23cb872edc9c,125.0,66,Southpaw,3.39,44,2.66,56,3.73,47,59,1.0,125.0,68,Orthodox,2.88,39,3.65,58,0.28,22,72,0.4,21,13,1,10,8,0,67.0,65.0,38.0,35.0
Abdul Razak Alhassan,Mounir Lazzez,UFC Fight Night: Kattar vs. Ige,fighter2,http://ufcstats.com/fight-details/33d2a1dbb8a7fef5,185.0,73,Orthodox,3.64,49,4.01,54,0.84,33,51,0.2,170.0,76,Orthodox,7.49,55,5.42,53,1.8,57,71,0.0,12,7,0,11,3,0,70.0,73.0,39.0,37.0
Molly McCann,Taila Santos,UFC Fight Night: Kattar vs. Ige,fighter2,http://ufcstats.com/fight-details/15def71ff1679e06,115.0,62,Orthodox,5.39,49,4.72,62,1.84,36,39,0.5,125.0,68,Orthodox,3.39,48,2.64,58,2.0,76,86,1.1,14,7,0,19,3,0,64.0,66.0,34.0,31.0
Calvin Kattar,Dan Ige,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/abeaae1a64934178,145.0,72,Orthodox,4.6,38,6.62,53,0.36,29,77,0.1,145.0,71,Orthodox,3.66,45,3.5,56,0.99,26,57,0.2,23,9,0,18,9,0,71.0,67.0,37.0,33.0
Jimmie Rivera,Cody Stamann,UFC Fight Night: Kattar vs. Ige,fighter1,http://ufcstats.com/fight-details/d4c314616eac8f8b,135.0,68,Orthodox,4.03,40,3.9,60,0.88,27,92,0.1,135.0,64,Orthodox,4.32,46,3.91,60,2.17,37,76,0.0,23,5,0,21,8,1,64.0,66.0,35.0,35.0
Vicente Luque,Randy Brown,UFC Fight Night: Brunson vs. Shahbazyan,fighter1,http://ufcstats.com/fight-details/2fb1abeb337e0ccc,170.0,75,Orthodox,5.05,51,5.22,52,0.99,53,62,0.7,170.0,78,Orthodox,4.35,47,3.24,54,0.81,39,73,0.6,23,10,1,19,6,0,71.0,75.0,33.0,34.0
Jamall Emmers,Vince Cachero,UFC Fight Night: Brunson vs. Shahbazyan,fighter1,http://ufcstats.com/fight-details/76b9a338597fc604,145.0,74,Orthodox,5.3,48,4.05,57,1.83,40,90,0.2,145.0,68,Orthodox,3.29,45,6.51,43,0.0,0,18,0.5,20,8,0,7,4,0,70.0,66.0,35.0,35.0
Joanne Wood,Jennifer Maia,UFC Fight Night: Brunson vs. Shahbazyan,fighter2,http://ufcstats.com/fight-details/5885445f39dac389,125.0,65,Orthodox,7.1,51,4.89,51,1.52,55,58,0.3,125.0,64,Orthodox,4.35,38,4.52,55,0.42,27,58,0.1,17,8,0,21,10,1,66.0,64.0,39.0,36.0
Johnny Munoz,Nate Maness,UFC Fight Night: Brunson vs. Shahbazyan,fighter2,http://ufcstats.com/fight-details/6ba9f6a7a9361354,135.0,71,Orthodox,2.44,36,2.66,55,2.4,25,45,1.8,125.0,72,Orthodox,3.14,50,3.88,42,0.68,75,80,0.7,12,4,0,16,3,0,69.0,70.0,32.0,33.0
Frankie Saenz,Jonathan Martinez,UFC Fight Night: Brunson vs. Shahbazyan,fighter2,http://ufcstats.com/fight-details/94b48b98d0292720,135.0,66,Orthodox,3.94,47,3.5,52,1.74,31,61,0.1,135.0,70,Southpaw,4.44,49,4.09,56,0.38,35,68,0.1,13,7,0,19,6,0,66.0,68.0,44.0,30.0
Davi Ramos,Arman Tsarukyan,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter2,http://ufcstats.com/fight-details/ecb24300bb3bef8c,155.0,70,Orthodox,2.64,37,3.44,56,1.95,40,83,0.6,155.0,72,Orthodox,3.79,48,1.84,53,3.25,37,75,0.0,10,4,0,22,3,0,66.0,67.0,38.0,28.0
Derek Brunson,Edmen Shahbazyan,UFC Fight Night: Brunson vs. Shahbazyan,fighter1,http://ufcstats.com/fight-details/0b88d0c76f9cd7e4,185.0,77,Southpaw,3.51,47,3.05,51,3.14,33,85,0.6,185.0,74,Orthodox,3.78,50,3.85,47,1.97,38,65,0.5,23,9,0,14,5,0,73.0,74.0,41.0,27.0
Lando Vannata,King Green,UFC Fight Night: Brunson vs. Shahbazyan,fighter2,http://ufcstats.com/fight-details/0b21755eb0897396,155.0,71,Orthodox,4.52,45,4.76,55,1.09,37,69,0.3,155.0,71,Orthodox,6.43,53,3.73,62,1.23,39,74,0.3,12,7,2,32,16,1,69.0,70.0,33.0,38.0
Malcolm Gordon,Amir Albazi,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter2,http://ufcstats.com/fight-details/b9b0da84b243213f,125.0,71,Switch,2.5,45,2.0,43,1.72,35,26,1.0,125.0,68,Orthodox,2.72,34,3.71,61,1.39,32,50,0.5,14,8,0,17,2,0,67.0,65.0,34.0,31.0
Brett Johns,Montel Jackson,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/b5f70d0c88f12645,135.0,71,Orthodox,2.86,49,3.84,53,4.92,49,58,1.0,135.0,75,Southpaw,3.39,53,1.42,63,3.41,71,69,0.3,17,2,0,14,2,0,67.0,70.0,33.0,32.0
Joe Duffy,Joel Alvarez,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter2,http://ufcstats.com/fight-details/b76c0b0ed2926737,155.0,73,Orthodox,2.68,34,3.78,54,0.96,66,64,0.7,155.0,77,Orthodox,4.51,53,3.32,50,0.0,0,40,1.2,16,5,0,22,3,0,70.0,75.0,37.0,32.0
Alexandre Pantoja,Askar Askarov,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter2,http://ufcstats.com/fight-details/ba4485ce4e8e3fe1,125.0,67,Orthodox,4.41,50,3.92,50,2.74,47,68,0.9,125.0,67,Orthodox,3.05,54,2.8,57,2.6,24,66,0.4,29,5,0,14,1,1,65.0,66.0,34.0,32.0
Roman Dolidze,Khadis Ibragimov,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/e5a9f75b1117d848,185.0,76,Orthodox,3.16,42,3.38,50,1.33,42,33,1.1,205.0,78,Orthodox,3.55,49,4.26,47,0.97,30,80,0.3,14,3,0,8,4,0,74.0,75.0,36.0,29.0
Ariane da Silva,Luana Carolina,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/c4c379b8f99fea88,125.0,67,Orthodox,4.04,41,3.87,53,0.52,55,68,0.3,125.0,69,Orthodox,4.81,50,3.54,50,0.34,37,74,0.6,17,10,0,11,4,0,66.0,66.0,31.0,31.0
Jack Hermansson,Kelvin Gastelum,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/fcfd2e6eed519cb9,185.0,77,Orthodox,5.09,44,3.69,56,1.53,30,80,0.4,185.0,71,Southpaw,3.74,42,3.48,57,1.1,34,59,0.1,24,8,0,19,9,0,73.0,69.0,36.0,33.0
Marc Diakiese,Rafael Fiziev,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter2,http://ufcstats.com/fight-details/e5872dfa5b93fcbb,155.0,73,Orthodox,2.54,40,2.64,52,3.29,43,66,0.0,155.0,71,Switch,4.9,51,4.97,49,0.29,40,89,0.0,17,7,0,12,3,0,70.0,68.0,32.0,32.0
Grant Dawson,Nad Narimani,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/bb881d4ee6dfbf86,155.0,72,Switch,3.2,52,2.11,44,3.87,40,57,1.1,145.0,70,Orthodox,3.33,42,3.0,58,1.92,41,70,0.0,23,2,1,12,4,0,70.0,68.0,31.0,37.0
Deiveson Figueiredo,Joseph Benavidez,UFC Fight Night: Figueiredo vs. Benavidez 2,fighter1,http://ufcstats.com/fight-details/4dc5039b21013b3a,135.0,68,Orthodox,2.91,54,3.55,49,1.62,34,60,1.4,125.0,65,Southpaw,3.52,34,2.67,61,1.41,30,62,0.6,24,4,1,28,8,0,65.0,64.0,37.0,40.0
Leonardo Santos,Roman Bogatov,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/7c76c752c7abf2e0,155.0,75,Orthodox,2.82,46,3.4,54,0.88,25,86,0.2,155.0,73,Orthodox,3.33,42,4.4,44,1.0,9,50,0.0,18,7,1,10,1,0,72.0,68.0,45.0,34.0
Marcin Tybura,Maxim Grishin,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/137646de0ffd9c35,249.0,78,Orthodox,3.57,49,3.26,55,1.42,33,77,0.1,205.0,78,Orthodox,3.26,52,2.27,58,0.21,16,66,0.0,26,9,0,32,10,2,75.0,75.0,39.0,40.0
Elizeu Zaleski dos Santos,Muslim Salikhov,UFC 251: Usman vs. Masvidal,fighter2,http://ufcstats.com/fight-details/ce7cd2ec773bea7f,170.0,73,Orthodox,4.33,41,3.41,56,0.7,20,68,0.5,170.0,70,Orthodox,3.38,49,2.9,62,1.08,32,72,0.0,25,8,1,21,5,0,71.0,71.0,38.0,40.0
Jessica Andrade,Rose Namajunas,UFC 251: Usman vs. Masvidal,fighter2,http://ufcstats.com/fight-details/e16f42a666e163d8,125.0,62,Orthodox,6.44,50,5.51,54,2.23,54,72,0.3,125.0,65,Orthodox,3.71,42,3.48,63,1.46,50,61,0.4,26,13,0,14,7,0,61.0,65.0,33.0,32.0
Makwan Amirkhani,Danny Henry,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/159646a9d2ae8ea5,145.0,72,Southpaw,1.33,44,2.98,46,3.96,43,35,1.1,145.0,73,Orthodox,5.2,51,4.16,45,0.74,33,50,2.2,17,9,0,12,4,0,70.0,72.0,36.0,36.0
Petr Yan,Jose Aldo,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/0f9be7ac405772f8,135.0,67,Switch,5.11,54,4.13,58,1.61,49,84,0.1,135.0,70,Orthodox,3.62,46,3.72,60,0.49,53,92,0.1,18,5,0,32,9,0,67.0,67.0,32.0,38.0
Raulian Paiva,Zhalgas Zhumagulov,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/0e8d5c16eb9cb1cf,135.0,69,Orthodox,4.14,42,5.01,48,0.65,23,77,0.2,125.0,66,Switch,5.24,43,5.86,52,1.3,19,75,0.2,21,5,0,14,9,0,68.0,64.0,29.0,36.0
Volkan Oezdemir,Jiri Prochazka,UFC 251: Usman vs. Masvidal,fighter2,http://ufcstats.com/fight-details/cd8cdb539deaa47f,205.0,75,Orthodox,4.95,48,4.22,55,0.5,29,80,0.1,205.0,80,Orthodox,5.74,55,5.7,43,0.6,60,68,0.2,20,8,0,31,5,1,74.0,75.0,35.0,32.0
Amanda Ribas,Paige VanZant,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/6e0c1faaf40caf9a,115.0,66,Orthodox,4.29,39,3.24,60,2.06,53,83,0.6,115.0,65,Orthodox,3.35,52,2.62,42,1.27,33,34,1.0,13,6,0,8,5,0,63.0,64.0,31.0,30.0
Cortney Casey,Gillian Robertson,UFC Fight Night: Blaydes vs. Volkov,fighter2,http://ufcstats.com/fight-details/90715135a543b6e3,125.0,67,Orthodox,4.29,39,4.0,55,0.39,31,39,0.5,115.0,63,Orthodox,2.89,48,2.95,56,2.68,39,41,1.0,10,10,0,15,8,0,67.0,65.0,37.0,29.0
Alexander Volkanovski,Max Holloway,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/94b1596c6ff9a25d,145.0,71,Orthodox,6.16,56,3.44,58,1.78,37,70,0.2,145.0,69,Orthodox,7.16,47,4.76,59,0.25,53,83,0.3,26,4,0,26,8,0,66.0,71.0,36.0,33.0
Kamaru Usman,Jorge Masvidal,UFC 251: Usman vs. Masvidal,fighter1,http://ufcstats.com/fight-details/d292243c6499b2fe,170.0,76,Switch,4.36,52,2.74,54,2.82,45,89,0.1,170.0,74,Orthodox,4.05,47,3.05,64,1.38,59,72,0.3,20,4,0,35,17,0,72.0,71.0,37.0,40.0
Tecia Pennington,Brianna Fortino,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/1adee75d6c671cc8,115.0,60,Orthodox,4.82,47,3.53,61,0.57,14,63,0.1,115.0,62,Southpaw,3.53,41,3.23,57,2.5,45,66,0.0,14,7,0,9,3,0,61.0,60.0,35.0,31.0
Jim Miller,Roosevelt Roberts,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/9b39e15b42422a08,155.0,71,Southpaw,2.99,42,3.51,56,1.52,44,49,1.7,155.0,73,Orthodox,2.84,43,3.1,52,1.18,26,50,0.7,38,18,0,12,6,0,68.0,74.0,41.0,31.0
Josh Emmett,Shane Burgos,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/4f99b4a39925cb47,145.0,70,Orthodox,4.04,36,4.61,61,0.91,37,46,0.1,145.0,75,Orthodox,7.4,52,6.78,56,0.43,44,91,0.4,19,4,0,15,3,0,66.0,71.0,40.0,34.0
Curtis Blaydes,Alexander Volkov,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/0c3622569cd8062a,265.0,80,Orthodox,3.54,50,1.91,58,5.69,53,31,0.0,250.0,80,Orthodox,4.97,57,2.99,54,0.61,66,72,0.2,18,5,0,38,11,0,76.0,79.0,34.0,36.0
Raquel Pennington,Marion Reneau,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/8b9e9f283e76b429,135.0,67,Orthodox,4.1,49,3.32,61,0.83,27,62,0.6,135.0,68,Orthodox,3.2,41,3.52,59,0.62,63,50,0.8,16,10,0,9,8,1,67.0,66.0,36.0,47.0
Clay Guida,King Green,UFC Fight Night: Blaydes vs. Volkov,fighter2,http://ufcstats.com/fight-details/d851cbbbdfd05a49,155.0,70,Orthodox,2.63,33,3.0,61,3.1,35,66,0.6,155.0,71,Orthodox,6.43,53,3.73,62,1.23,39,74,0.3,38,22,0,32,16,1,67.0,70.0,43.0,38.0
Belal Muhammad,Lyman Good,UFC Fight Night: Blaydes vs. Volkov,fighter1,http://ufcstats.com/fight-details/f00921c62315be96,170.0,72,Orthodox,4.39,43,3.48,57,2.28,39,89,0.2,170.0,74,Orthodox,5.34,48,4.01,63,0.27,100,75,0.0,24,3,0,21,6,0,71.0,72.0,36.0,39.0
Philipe Lins,Tanner Boser,UFC Fight Night: Poirier vs. Hooker,fighter2,http://ufcstats.com/fight-details/75570ea2da94a4fb,205.0,78,Orthodox,3.8,49,3.59,46,1.65,33,100,0.0,205.0,75,Orthodox,4.7,52,2.75,58,0.0,0,63,0.0,18,5,0,21,10,1,74.0,74.0,39.0,33.0
Sean Woodson,Julian Erosa,UFC Fight Night: Poirier vs. Hooker,fighter2,http://ufcstats.com/fight-details/8a8fea2c10512434,145.0,78,Orthodox,5.66,46,4.2,58,0.63,62,84,0.4,145.0,74,Southpaw,6.18,48,6.31,48,1.69,48,58,0.8,13,1,1,30,12,0,74.0,73.0,32.0,35.0
Luis Pena,Khama Worthy,UFC Fight Night: Poirier vs. Hooker,fighter2,http://ufcstats.com/fight-details/9025e3c6b6d71253,155.0,75,Southpaw,3.66,46,3.12,51,1.17,33,48,1.2,155.0,74,Orthodox,4.18,48,4.45,46,0.0,0,57,0.7,9,3,0,16,9,0,75.0,71.0,31.0,38.0
Takashi Sato,Jason Witt,UFC Fight Night: Poirier vs. Hooker,fighter1,http://ufcstats.com/fight-details/67ed3ad521ef619c,170.0,73,Southpaw,2.21,41,3.73,44,0.76,37,60,0.0,170.0,70,Orthodox,2.15,44,2.54,52,6.9,48,100,0.9,16,7,0,19,9,0,70.0,70.0,34.0,38.0
Brendan Allen,Kyle Daukaus,UFC Fight Night: Poirier vs. Hooker,fighter1,http://ufcstats.com/fight-details/cfd47fddbb705f26,185.0,75,Orthodox,3.55,53,3.67,45,1.53,38,56,1.3,185.0,76,Southpaw,3.22,52,2.94,42,2.12,25,82,1.9,24,7,0,11,4,0,74.0,75.0,29.0,32.0
Mike Perry,Mickey Gall,UFC Fight Night: Poirier vs. Hooker,fighter1,http://ufcstats.com/fight-details/f2d9814936a6eb35,170.0,71,Orthodox,4.32,47,5.16,52,0.81,40,78,0.2,170.0,74,Switch,3.5,49,4.72,49,1.15,32,37,1.6,14,8,0,7,7,0,70.0,74.0,33.0,33.0
Gian Villante,Maurice Greene,UFC Fight Night: Poirier vs. Hooker,fighter2,http://ufcstats.com/fight-details/9ce56acac775d386,230.0,76,Orthodox,4.38,44,5.47,55,0.45,23,83,0.0,258.0,80,Orthodox,3.28,45,3.61,45,0.0,0,27,0.4,17,14,0,9,7,0,75.0,79.0,39.0,38.0
Julia Avila,Gina Mazany,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/97125cd6a94b6394,135.0,68,Orthodox,2.81,42,3.28,55,0.63,37,52,0.2,125.0,68,Southpaw,3.73,50,3.52,50,4.34,52,33,0.2,9,4,0,7,6,0,67.0,66.0,36.0,36.0
Merab Dvalishvili,Gustavo Lopez,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/05061dd590c9eb34,135.0,68,Orthodox,4.36,42,2.51,56,5.89,35,82,0.3,135.0,67,Orthodox,2.48,40,3.87,57,1.74,41,31,0.7,19,4,0,12,6,1,66.0,65.0,34.0,35.0
Jordan Espinosa,Mark De La Rosa,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/e36b8b88646f72f8,125.0,69,Orthodox,4.22,52,2.94,57,0.75,28,70,0.2,135.0,65,Orthodox,3.13,35,5.0,48,0.54,13,40,0.2,15,9,0,11,5,0,66.0,66.0,35.0,30.0
Dustin Poirier,Dan Hooker,UFC Fight Night: Poirier vs. Hooker,fighter1,http://ufcstats.com/fight-details/f8dd1e75978a3957,155.0,72,Southpaw,5.3,50,4.33,52,1.24,36,64,1.3,155.0,75,Switch,5.03,48,4.72,51,0.73,34,78,0.3,30,9,0,24,12,0,69.0,72.0,36.0,35.0
Tyson Nam,Zarrukh Adashev,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/dfbb110855354039,125.0,68,Orthodox,3.87,33,4.97,65,0.0,0,87,0.0,125.0,65,Southpaw,3.65,40,3.04,64,0.0,0,100,0.5,21,14,1,4,4,0,67.0,65.0,41.0,32.0
Charles Rosa,Kevin Aguilar,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/1109a8f2adc81ce0,145.0,69,Switch,3.08,36,3.86,47,1.67,35,38,1.0,155.0,73,Orthodox,3.96,40,4.81,52,0.16,16,78,0.0,14,8,0,17,5,0,69.0,67.0,38.0,36.0
Mariya Agapova,Hannah Cifers,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/7606d2f8d8b0e889,125.0,68,Southpaw,4.43,54,3.62,52,0.55,66,45,0.8,115.0,62,Orthodox,4.99,44,5.39,52,0.26,100,64,0.3,10,5,0,10,7,0,66.0,61.0,27.0,32.0
Andre Fili,Charles Jourdain,UFC Fight Night: Eye vs. Calvillo,fighter1,http://ufcstats.com/fight-details/cab532b4544580bd,145.0,74,Orthodox,3.84,37,4.15,51,2.17,44,70,0.2,135.0,69,Switch,5.43,48,4.27,56,0.34,21,47,0.6,24,12,0,16,8,1,71.0,69.0,34.0,29.0
Cody Stamann,Brian Kelleher,UFC 250: Nunes vs. Spencer,fighter1,http://ufcstats.com/fight-details/c6ca435e24c5f4e4,135.0,64,Orthodox,4.32,46,3.91,60,2.17,37,76,0.0,135.0,66,Switch,3.31,41,4.59,54,1.68,41,60,0.7,21,8,1,24,16,0,66.0,66.0,35.0,38.0
Karl Roberson,Marvin Vettori,UFC Fight Night: Eye vs. Calvillo,fighter2,http://ufcstats.com/fight-details/e857ca0bc3b9fdcd,205.0,74,Southpaw,2.57,51,2.42,57,0.72,40,40,0.5,185.0,74,Southpaw,4.56,45,4.24,56,1.66,45,69,0.5,9,6,0,19,7,1,73.0,72.0,34.0,31.0
