fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Ed Herman,Mike Rodriguez,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/3901d9cdbb0949bc,205.0,77,Orthodox,3.31,48,3.71,42,1.96,47,59,1.0,205.0,82,Southpaw,4.35,53,4.24,41,0.0,0,37,0.0,27,16,0,11,7,0,73.0,76.0,44.0,36.0
Alexandr Romanov,Roque Martinez,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/2461756d8acd56d2,262.0,75,Southpaw,3.78,51,2.13,54,4.49,55,28,0.9,250.0,72,Orthodox,3.28,53,4.9,56,0.38,50,53,0.4,18,3,0,15,8,2,74.0,70.0,34.0,39.0
Julia Avila,Sijara Eubanks,UFC Fight Night: Waterson vs. Hill,fighter2,http://ufcstats.com/fight-details/cf0e0f95524f187a,135.0,68,Orthodox,2.81,42,3.28,55,0.63,37,52,0.2,125.0,67,Orthodox,4.3,43,3.43,57,1.9,44,66,0.3,9,4,0,8,7,0,67.0,64.0,36.0,39.0
Ottman Azaitar,Khama Worthy,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/1ed8776f978a0155,155.0,71,Switch,4.43,44,4.11,52,0.0,0,100,0.0,155.0,74,Orthodox,4.18,48,4.45,46,0.0,0,57,0.7,13,3,0,16,9,0,68.0,71.0,35.0,38.0
Michelle Waterson-Gomez,Angela Hill,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/0ffbf3096a13b47e,115.0,62,Orthodox,3.42,46,4.25,48,1.39,33,69,0.6,115.0,64,Orthodox,5.47,50,4.92,61,0.81,32,75,0.1,18,13,0,18,14,0,63.0,63.0,39.0,40.0
King Green,Alan Patrick,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/06910bddb0745856,155.0,71,Orthodox,6.43,53,3.73,62,1.23,39,74,0.3,155.0,74,Southpaw,1.82,40,2.95,43,3.01,33,43,0.3,32,16,1,15,4,0,70.0,71.0,38.0,41.0
Roxanne Modafferi,Andrea Lee,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/764012f51c7dc223,125.0,69,Orthodox,3.35,30,5.7,51,1.35,23,30,0.1,125.0,69,Orthodox,4.71,46,3.83,62,1.7,55,54,0.6,25,21,0,13,10,0,67.0,66.0,42.0,36.0
Maki Pitolo,Impa Kasanganay,UFC Fight Night: Smith vs. Rakic,fighter2,http://ufcstats.com/fight-details/eb9097be07a3c26a,185.0,75,Orthodox,4.1,44,3.93,55,2.24,52,50,0.8,170.0,75,Orthodox,4.96,48,3.66,58,1.75,58,66,0.2,13,9,0,9,2,0,70.0,71.0,34.0,31.0
Alessio Di Chirico,Zak Cummings,UFC Fight Night: Smith vs. Rakic,fighter2,http://ufcstats.com/fight-details/0a7517a16d2d9db6,185.0,74,Orthodox,3.32,39,3.44,61,1.46,39,83,0.0,205.0,75,Southpaw,2.96,35,2.91,55,0.62,28,66,0.6,13,7,0,25,7,0,72.0,72.0,35.0,40.0
Ji Yeon Kim,Alexa Grasso,UFC Fight Night: Smith vs. Rakic,fighter2,http://ufcstats.com/fight-details/0a9f22de8600c762,125.0,72,Orthodox,5.37,36,5.41,56,0.0,0,50,0.1,125.0,66,Orthodox,4.19,41,3.69,58,0.44,40,54,0.7,9,7,2,16,4,1,67.0,65.0,35.0,31.0
Robbie Lawler,Neil Magny,UFC Fight Night: Smith vs. Rakic,fighter2,http://ufcstats.com/fight-details/864cddd6e165ea2d,170.0,74,Southpaw,3.85,47,4.67,59,0.65,64,65,0.0,170.0,80,Orthodox,3.43,46,2.48,51,2.12,38,53,0.2,30,16,0,29,14,0,71.0,75.0,43.0,37.0
