fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Bevon Lewis,Dequan Townsend,UFC Fight Night: Blaydes vs. Dos Santos,fighter1,http://ufcstats.com/fight-details/3fd3b871e83434c5,Bevon Lewis,,Record: 7-3-0,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",3.73,43%,2.67,54%,0.00,0%,66%,0.0,Dequan Townsend,The Tarantula,Record: 21-12-0,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",1.23,34%,3.92,38%,0.00,0%,46%,0.0
Karolina Kowalkiewicz,Yan Xiaonan,UFC Fight Night: Felder vs. Hooker,fighter2,http://ufcstats.com/fight-details/060987bb3025a0a8,Karolina Kowalkiewicz,,Record: 16-9-0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.54,43%,5.51,57%,0.31,22%,74%,0.2,Yan Xiaonan,,Record: 19-4-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",4.99,45%,3.44,60%,0.92,73%,63%,0.0
Hannah Cifers,Angela Hill,UFC Fight Night: Blaydes vs. Dos Santos,fighter2,http://ufcstats.com/fight-details/b88b170a7fe40544,Hannah Cifers,Shockwave,Record: 10-7-0,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",4.99,44%,5.39,52%,0.26,100%,64%,0.3,Angela Hill,Overkill,Record: 18-14-0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.47,50%,4.92,61%,0.81,32%,75%,0.1
Curtis Blaydes,Junior Dos Santos,UFC Fight Night: Blaydes vs. Dos Santos,fighter1,http://ufcstats.com/fight-details/037d2f426c916ffc,Curtis Blaydes,Razor,Record: 18-5-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.54,50%,1.91,58%,5.69,53%,31%,0.0,Junior Dos Santos,Cigano,Record: 21-9-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.30,50%,81%,0.1
Paul Felder,Dan Hooker,UFC Fight Night: Felder vs. Hooker,fighter2,http://ufcstats.com/fight-details/5fceb95c29d929bc,Paul Felder,The Irish Dragon,Record: 17-6-0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.70,44%,3.44,48%,0.29,28%,64%,0.2,Dan Hooker,The Hangman,Record: 24-12-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",5.03,48%,4.72,51%,0.73,34%,78%,0.3
Jamahal Hill,Darko Stosic,UFC Fight Night: Blaydes vs. Dos Santos,fighter1,http://ufcstats.com/fight-details/6195d3e7c412c8a2,Jamahal Hill,Sweet Dreams,Record: 12-3-0 (1 NC),"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",7.05,53%,4.02,45%,0.00,0%,73%,0.0,Darko Stosic,,Record: 13-4-0,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",2.61,45%,4.04,58%,3.42,50%,83%,0.0
Andre Ewell,Jonathan Martinez,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/326b843cb2b7fd94,Andre Ewell,Mr. Highlight,Record: 17-9-0,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",4.28,40%,4.87,51%,0.36,75%,72%,0.1,Jonathan Martinez,Dragon,Record: 19-6-0,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.44,49%,4.09,56%,0.38,35%,68%,0.1
Domingo Pilarte,Journey Newson,UFC 247: Jones vs. Reyes,,http://ufcstats.com/fight-details/5ab2a4fec735e0b2,Domingo Pilarte,Son of Fire,Record: 8-3-0 (1 NC),"6' 0""",135 lbs.,"73""",Southpaw,"Jan 05, 1990",1.31,47%,2.96,40%,1.20,42%,54%,0.8,Journey Newson,,Record: 10-5-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"Mar 07, 1989",2.64,32%,2.57,64%,0.56,16%,43%,0.3
Jordan Espinosa,Alex Perez,UFC Fight Night: Blaydes vs. Dos Santos,fighter2,http://ufcstats.com/fight-details/7dcd5d8a44a284e5,Jordan Espinosa,The Gamer,Record: 15-9-0 (1 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.22,52%,2.94,57%,0.75,28%,70%,0.2,Alex Perez,,Record: 25-9-0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.19,46%,3.20,58%,2.04,46%,77%,0.8
Austin Lingo,Youssef Zalal,UFC 247: Jones vs. Reyes,fighter2,http://ufcstats.com/fight-details/a6441acec6718f03,Austin Lingo,Lights Out,Record: 9-3-0,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",3.86,37%,4.86,57%,0.43,66%,75%,0.0,Youssef Zalal,The Moroccan Devil,Record: 17-5-1,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.07,50%,1.80,66%,2.09,30%,59%,1.3
Rafael Dos Anjos,Michael Chiesa,UFC Fight Night: Blaydes vs. Dos Santos,fighter2,http://ufcstats.com/fight-details/2ef54419defb2364,Rafael Dos Anjos,,Record: 32-17-0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47%,3.23,60%,1.95,35%,54%,0.6,Michael Chiesa,Maverick,Record: 20-7-0,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",1.81,39%,1.66,54%,3.30,48%,61%,1.1
Miles Johns,Mario Bautista,UFC 247: Jones vs. Reyes,fighter2,http://ufcstats.com/fight-details/d3f44fedc561d2d5,Miles Johns,Chapo,Record: 15-3-0 (1 NC),"5' 7""",145 lbs.,"66""",Orthodox,"Mar 30, 1994",3.16,44%,2.65,67%,0.92,20%,81%,0.0,Mario Bautista,,Record: 15-2-0,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",5.33,47%,3.91,54%,1.92,33%,66%,0.9
Lauren Murphy,Andrea Lee,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/cb56e868deaddac4,Lauren Murphy,Lucky,Record: 16-6-0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",4.05,39%,5.25,55%,1.03,25%,69%,0.1,Andrea Lee,KGB,Record: 13-10-0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.71,46%,3.83,62%,1.70,55%,54%,0.6
Mirsad Bektic,Dan Ige,UFC 247: Jones vs. Reyes,fighter2,http://ufcstats.com/fight-details/be822403f364fff3,Mirsad Bektic,,Record: 13-4-0,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.43,41%,1.80,57%,3.98,52%,92%,0.4,Dan Ige,50K,Record: 18-9-0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.66,45%,3.50,56%,0.99,26%,57%,0.2
Trevin Giles,James Krause,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/11f7bac5037a184c,Trevin Giles,,Record: 16-7-0,"6' 0""",170 lbs.,"74""",Orthodox,"Aug 06, 1992",3.17,54%,2.39,58%,1.07,50%,72%,0.3,James Krause,The,Record: 28-9-0,"6' 2""",170 lbs.,"73""",Orthodox,"Jun 04, 1986",4.79,49%,4.11,61%,0.96,18%,59%,0.9
Jon Jones,Dominick Reyes,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/fae99a4089f8abb0,Jon Jones,Bones,Record: 28-1-0 (1 NC),"6' 4""",248 lbs.,"84""",Orthodox,"Jul 19, 1987",4.38,58%,2.24,64%,1.89,45%,95%,0.5,Dominick Reyes,The Devastator,Record: 14-4-0,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",5.64,54%,3.59,49%,0.31,28%,82%,0.3
Juan Adams,Justin Tafa,UFC 247: Jones vs. Reyes,fighter2,http://ufcstats.com/fight-details/57961c6adebfb13d,Juan Adams,The Kraken,Record: 5-3-0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,Justin Tafa,Bad Man,Record: 7-5-0 (1 NC),"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",4.05,54%,5.11,47%,0.00,0%,53%,0.0
Valentina Shevchenko,Katlyn Cerminara,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/05cceae674c81b86,Valentina Shevchenko,Bullet,Record: 24-4-1,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",3.16,52%,2.00,64%,2.74,64%,71%,0.3,Katlyn Cerminara,Blonde Fighter,Record: 18-6-0,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",4.58,34%,4.48,62%,0.31,15%,50%,0.3
Alex Morono,Khaos Williams,UFC 247: Jones vs. Reyes,fighter2,http://ufcstats.com/fight-details/ed499508be1e5532,Alex Morono,The Great White,Record: 24-11-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.96,40%,4.56,57%,0.34,25%,47%,0.3,Khaos Williams,The OxFighter,Record: 15-4-0,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",5.36,38%,5.19,43%,0.00,0%,60%,0.0
Derrick Lewis,Ilir Latifi,UFC 247: Jones vs. Reyes,fighter1,http://ufcstats.com/fight-details/cefb47bcc04f540e,Derrick Lewis,The Black Beast,Record: 28-12-0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.48,50%,2.48,40%,0.57,26%,52%,0.0,Ilir Latifi,The Sledgehammer,Record: 17-9-0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",2.05,45%,2.93,56%,2.11,35%,100%,0.3
Mark De La Rosa,Raulian Paiva,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/8725dc88f2e0a6f3,Mark De La Rosa,Bumblebee,Record: 11-5-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.00,48%,0.54,13%,40%,0.2,Raulian Paiva,,Record: 21-5-0,"5' 8""",135 lbs.,"69""",Orthodox,"Oct 17, 1995",4.14,42%,5.01,48%,0.65,23%,77%,0.2
Devin Clark,Dequan Townsend,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/94c0819fde11364d,Devin Clark,Brown Bear,Record: 14-9-0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",3.03,54%,3.24,44%,2.17,32%,58%,0.1,Dequan Townsend,The Tarantula,Record: 21-12-0,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",1.23,34%,3.92,38%,0.00,0%,46%,0.0
Macy Chiasson,Shanna Young,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/d629aa5eb31a1e38,Macy Chiasson,,Record: 11-3-0,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",3.77,46%,2.79,44%,2.37,38%,70%,0.4,Shanna Young,The Shanimal,Record: 9-6-0,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 20, 1991",3.18,47%,4.88,43%,0.00,0%,53%,0.6
Casey Kenney,Merab Dvalishvili,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/51218519be104794,Casey Kenney,,Record: 16-4-1,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991",4.85,42%,4.67,58%,1.09,35%,61%,0.4,Merab Dvalishvili,The Machine,Record: 19-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.36,42%,2.51,56%,5.89,35%,82%,0.3
Tim Means,Daniel Rodriguez,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/2dc48a745d6c662b,Tim Means,The Dirty Bird,Record: 33-17-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.04,49%,3.65,60%,1.14,40%,64%,0.2,Daniel Rodriguez,D-Rod,Record: 18-5-0,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",7.50,49%,5.47,58%,0.59,54%,57%,0.1
Rogerio Bontorin,Ray Borg,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/b41e3be867afd6fa,Rogerio Bontorin,,Record: 16-4-0 (2 NC),"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",2.63,52%,3.27,50%,2.90,60%,51%,1.0,Ray Borg,The Tazmexican Devil,Record: 13-5-0,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0
Brok Weaver,Kazula Vargas,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/9d98e1c0d62213cf,Brok Weaver,Chata Tuska,Record: 15-6-0,"6' 0""",155 lbs.,"73""",Southpaw,"Dec 05, 1991",4.78,64%,4.35,46%,0.41,10%,66%,0.4,Kazula Vargas,,Record: 12-5-0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 15, 1985",3.65,53%,1.77,57%,0.40,25%,30%,0.4
John Dodson,Nathaniel Wood,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/08426f06239d903c,John Dodson,The Magician,Record: 22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0,Nathaniel Wood,The Prospect,Record: 20-6-0,"5' 6""",145 lbs.,"69""",Orthodox,"May 08, 1993",5.75,51%,4.00,56%,1.56,48%,72%,0.5
Jim Miller,Scott Holtzman,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/f3e2038bfb9b5d9d,Jim Miller,A-10,Record: 38-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.99,42%,3.51,56%,1.52,44%,49%,1.7,Scott Holtzman,Hot Sauce,Record: 14-6-0,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",4.32,47%,3.66,55%,1.88,56%,67%,0.2
Montana De La Rosa,Mara Romero Borella,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/96919cf8d3e988ff,Montana De La Rosa,,Record: 13-9-1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.90,37%,3.39,45%,1.85,33%,68%,0.8,Mara Romero Borella,,Record: 12-9-0 (2 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986",2.54,37%,2.48,71%,1.83,44%,66%,0.2
Lando Vannata,Yancy Medeiros,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/eab100e978c730c5,Lando Vannata,Groovy,Record: 12-7-2,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992",4.52,45%,4.76,55%,1.09,37%,69%,0.3,Yancy Medeiros,,Record: 15-8-0 (1 NC),"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",4.36,37%,5.67,47%,0.33,50%,73%,0.7
Diego Sanchez,Michel Pereira,UFC Fight Night: Anderson vs. Blachowicz,fighter1,http://ufcstats.com/fight-details/a02ffaf1fe462d28,Diego Sanchez,Nightmare,Record: 31-13-0,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8,Michel Pereira,Demolidor,Record: 31-12-0 (2 NC),"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",4.46,53%,4.23,52%,1.27,52%,76%,0.8
Corey Anderson,Jan Blachowicz,UFC Fight Night: Anderson vs. Blachowicz,fighter2,http://ufcstats.com/fight-details/801b3f24c670f19a,Corey Anderson,Overtime,Record: 14-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,Jan Blachowicz,,Record: 29-10-1,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.41,50%,2.91,53%,1.09,50%,68%,0.3
Alexandre Pantoja,Matt Schnell,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/5a5a65d8df176506,Alexandre Pantoja,The Cannibal,Record: 29-5-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,50%,3.92,50%,2.74,47%,68%,0.9,Matt Schnell,Danger,Record: 16-9-0 (1 NC),"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.39,39%,4.64,55%,0.56,40%,50%,1.0
Miranda Granger,Amanda Lemos,UFC Fight Night: Edgar vs. The Korean Zombie,fighter2,http://ufcstats.com/fight-details/60e1b3ac3182f5b3,Miranda Granger,Danger,Record: 7-3-0,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 13, 1992",2.79,47%,2.57,57%,0.00,0%,33%,0.0,Amanda Lemos,,Record: 14-4-1,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",3.16,54%,3.87,44%,0.90,63%,61%,0.8
Dong Hyun Ma,Omar Morales,UFC Fight Night: Edgar vs. The Korean Zombie,fighter2,http://ufcstats.com/fight-details/9140e6fdeaa7cd3f,Dong Hyun Ma,Maestro,Record: 16-11-3,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0,Omar Morales,Venezuelan Fighter,Record: 11-4-0,"5' 11""",155 lbs.,"73""",Orthodox,"Oct 17, 1985",3.42,40%,3.18,58%,0.46,100%,63%,0.0
Raoni Barcelos,Said Nurmagomedov,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/75523d31940c9344,Raoni Barcelos,,Record: 19-5-0,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",5.11,53%,4.64,60%,2.46,37%,82%,0.7,Said Nurmagomedov,,Record: 18-4-0,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",3.38,47%,2.25,56%,1.01,15%,62%,1.2
JunYong Park,Marc-Andre Barriault,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/b3bd27affa038e9c,JunYong Park,The Iron Turtle,Record: 18-6-0,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",4.77,51%,3.42,54%,1.85,47%,57%,0.9,Marc-Andre Barriault,Powerbar,Record: 16-9-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",5.98,47%,5.58,52%,0.21,25%,67%,0.1
Ciryl Gane,Tanner Boser,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/3637e661b6854b49,Ciryl Gane,Bon Gamin,Record: 13-2-0,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.26,61%,2.23,61%,0.70,25%,43%,0.6,Tanner Boser,The Bulldozer,Record: 21-10-1,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 02, 1991",4.70,52%,2.75,58%,0.00,0%,63%,0.0
SeungWoo Choi,Suman Mokhtarian,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/6ea23c2c30f85a89,SeungWoo Choi,Sting,Record: 11-7-0,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",3.51,39%,3.12,47%,0.86,54%,70%,0.0,Suman Mokhtarian,,Record: 8-5-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.00,0%,0%,0.0
Kyung Ho Kang,Pingyuan Liu,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/f93f794247af708a,Kyung Ho Kang,Mr. Perfect,Record: 19-11-0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",3.13,47%,3.32,54%,1.97,50%,68%,0.8,Pingyuan Liu,,Record: 13-7-0,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0
Volkan Oezdemir,Aleksandar Rakic,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/2b8cae68963a40a9,Volkan Oezdemir,No Time,Record: 20-8-0,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",4.95,48%,4.22,55%,0.50,29%,80%,0.1,Aleksandar Rakic,Rocket,Record: 14-5-0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.16,50%,2.91,51%,0.66,23%,85%,0.1
Tim Elliott,Askar Askarov,UFC 246: McGregor vs. Cowboy,fighter2,http://ufcstats.com/fight-details/ff467a5f06a91a0f,Tim Elliott,,Record: 21-13-1,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.39,44%,2.66,56%,3.73,47%,59%,1.0,Askar Askarov,Bullet,Record: 14-1-1,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.05,54%,2.80,57%,2.60,24%,66%,0.4
Frankie Edgar,Chan Sung Jung,UFC Fight Night: Edgar vs. The Korean Zombie,fighter2,http://ufcstats.com/fight-details/06f37329b223b451,Frankie Edgar,The Answer,Record: 23-11-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,40%,2.82,65%,2.29,31%,65%,0.3,Chan Sung Jung,The Korean Zombie,Record: 17-8-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",3.93,41%,4.52,52%,0.70,44%,72%,0.6
Dooho Choi,Charles Jourdain,UFC Fight Night: Edgar vs. The Korean Zombie,fighter2,http://ufcstats.com/fight-details/997ab1ea9fab5643,Dooho Choi,The Korean Superboy,Record: 16-4-1,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",4.67,56%,4.02,56%,1.43,53%,47%,0.6,Charles Jourdain,Air,Record: 16-8-1,"5' 9""",135 lbs.,"69""",Switch,"Nov 27, 1995",5.43,48%,4.27,56%,0.34,21%,47%,0.6
Da Woon Jung,Mike Rodriguez,UFC Fight Night: Edgar vs. The Korean Zombie,fighter1,http://ufcstats.com/fight-details/47e49e04e32be7e9,Da Woon Jung,Sseda,Record: 15-6-1,"6' 4""",205 lbs.,"78""",Orthodox,"Dec 07, 1993",3.24,40%,4.23,49%,1.59,47%,75%,0.2,Mike Rodriguez,Slo Mike,Record: 11-7-0 (1 NC),"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",4.35,53%,4.24,41%,0.00,0%,37%,0.0
Roxanne Modafferi,Maycee Barber,UFC 246: McGregor vs. Cowboy,fighter1,http://ufcstats.com/fight-details/760b5b16b4931a77,Roxanne Modafferi,The Happy Warrior,Record: 25-21-0,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.35,30%,5.70,51%,1.35,23%,30%,0.1,Maycee Barber,The Future,Record: 14-2-0,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",4.70,53%,2.90,54%,1.44,43%,53%,0.1
Andre Fili,Sodiq Yusuff,UFC 246: McGregor vs. Cowboy,fighter2,http://ufcstats.com/fight-details/5868c154789648f0,Andre Fili,Touchy,Record: 24-12-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.84,37%,4.15,51%,2.17,44%,70%,0.2,Sodiq Yusuff,Super,Record: 13-4-0,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",5.66,49%,4.51,53%,0.28,20%,62%,0.4
Anthony Pettis,Diego Ferreira,UFC 246: McGregor vs. Cowboy,fighter2,http://ufcstats.com/fight-details/32a8f38bd1d46e3e,Anthony Pettis,Showtime,Record: 24-10-0,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",3.05,47%,3.44,54%,0.61,50%,60%,1.1,Diego Ferreira,,Record: 19-6-0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.82,40%,3.46,55%,0.86,30%,57%,0.6
Brian Kelleher,Ode Osbourne,UFC 246: McGregor vs. Cowboy,fighter1,http://ufcstats.com/fight-details/4eff0432bd364a23,Brian Kelleher,Boom,Record: 24-16-0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.31,41%,4.59,54%,1.68,41%,60%,0.7,Ode Osbourne,The Jamaican Sensation,Record: 12-8-0 (1 NC),"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",3.26,40%,4.01,45%,1.21,28%,63%,0.6
Aleksei Oleinik,Maurice Greene,UFC 246: McGregor vs. Cowboy,fighter1,http://ufcstats.com/fight-details/702759500d47a059,Aleksei Oleinik,The Boa Constrictor,Record: 60-17-1,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.29,48%,3.80,44%,1.82,46%,37%,1.9,Maurice Greene,The Crochet Boss,Record: 9-7-0,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",3.28,45%,3.61,45%,0.00,0%,27%,0.4
Holly Holm,Raquel Pennington,UFC 246: McGregor vs. Cowboy,fighter1,http://ufcstats.com/fight-details/36032308b7e86fd0,Holly Holm,The Preacher's Daughter,Record: 15-7-0 (1 NC),"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",3.13,40%,2.92,55%,0.87,30%,76%,0.1,Raquel Pennington,Rocky,Record: 16-10-0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",4.10,49%,3.32,61%,0.83,27%,62%,0.6
Ian Heinisch,Omari Akhmedov,UFC 245: Usman vs. Covington,fighter2,http://ufcstats.com/fight-details/dd88960598219eba,Ian Heinisch,The Hurricane,Record: 14-5-0,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",3.25,50%,2.98,59%,1.02,17%,59%,0.7,Omari Akhmedov,Wolverine,Record: 21-6-1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Chase Hooper,Daniel Teymur,UFC 245: Usman vs. Covington,fighter1,http://ufcstats.com/fight-details/d42410f6f1039ab5,Chase Hooper,The Dream,Record: 15-3-1,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",4.97,52%,3.26,37%,1.83,27%,57%,2.4,Daniel Teymur,Kid Dynamite,Record: 7-4-0,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",3.08,46%,3.93,56%,0.56,18%,60%,0.3
Matt Brown,Ben Saunders,UFC 245: Usman vs. Covington,fighter1,http://ufcstats.com/fight-details/98dd88d83f57c17a,Matt Brown,The Immortal,Record: 26-19-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.76,55%,2.92,55%,1.68,46%,63%,1.3,Ben Saunders,Killa B,Record: 22-13-2,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983",3.23,50%,3.58,51%,0.20,40%,66%,1.3
